1
x0_(0 0 0 0 0 0)_x1_(0.5 0 0 0.5 0 0)_IMAGES/p0_(64.73 0.37 1.34 64.73 0.37 -1.15)_mu=0.016_STABLE=0.016-9.92(seg=2.47).png,44.296395,27.385257,39.275345,44.296395,27.385257,-25.582716
1.05,48.4956725408554,24.3755265905546,20.7456468018924,48.4956725509501,24.37552659229,-8.55788350519879,0
1.06,48.4467675004222,24.4152814544443,20.8804382782086,48.446767509959,24.415281456036,-8.67279754966146,0
1.07,48.3983477435162,24.4545272057799,21.0151102194633,48.3983477525255,24.4545272072356,-8.78784661533516,0
1.08,48.3504048261012,24.4932741988899,21.149665132733,48.3504048346116,24.4932742002171,-8.90302803213214,0
1.09,48.302930521975,24.5315324978788,21.2841054522589,48.3029305300145,24.5315324990847,-9.01833920224167,0
1.1,48.2559168152901,24.5693118870221,21.4184335421561,48.2559168228836,24.5693118881139,-9.13377759764115,0
1.11,48.2093558933944,24.6066218807047,21.5526516989979,48.209355900568,24.6066218816888,-9.24934075771167,0
1.12,48.163240139977,24.6434717329318,21.6867621542856,48.1632401467536,24.643471733814,-9.36502628695226,0
1.13,48.1175621284974,24.6798704464267,21.820767076807,48.1175621348999,24.6798704472134,-9.48083185278892,0
1.14,48.0723146158917,24.715826781346,21.9546685748919,48.0723146219411,24.7158267820427,-9.59675518347357,0
1.15,48.0274905365371,24.7513492636218,22.0884686985676,48.0274905422533,24.7513492642337,-9.71279406606765,0
1.16,47.9830829964646,24.7864461929557,22.2221694416217,47.9830830018667,24.7864461934883,-9.82894634450782,0
1.17,47.9390852678054,24.8211256504811,22.355772743575,47.9390852729109,24.8211256509391,-9.94520991774852,0
1.18,47.8954907834611,24.8553955061075,22.4892804915707,47.895490788287,24.8553955064957,-10.0615827379784,0
1.19,47.8522931319882,24.8892634255651,22.6226945221838,47.8522931365504,24.8892634258881,-10.1780628089072,0
1.2,47.8094860526841,24.9227368771628,22.7560166231531,47.8094860569985,24.9227368774247,-10.2946481841197,0
1.21,47.7670634308669,24.9558231382733,22.8892485350421,47.7670634349475,24.9558231384783,-10.4113369654931,0
1.22,47.7250192933379,24.9885293015599,23.0223919528309,47.7250192971978,24.9885293017116,-10.5281273016758,0
1.23,47.6833478040204,25.0208622809541,23.1554485274418,47.6833478076729,25.0208622810561,-10.6450173866247,0
1.24,47.6420432597692,25.0528288173993,23.2884198672037,47.6420432632259,25.0528288174548,-10.7620054581972,0
1.25,47.6011000863335,25.0844354843686,23.4213075392571,47.6011000896051,25.0844354843811,-10.879089796797,0
1.26,47.5605128344768,25.1156886931691,23.5541130709019,47.5605128375753,25.1156886931415,-10.9962687240708,0
1.27,47.5202761762423,25.1465946980415,23.6868379508923,47.5202761791772,25.1465946979768,-11.1135406016524,0
1.28,47.4803849013552,25.177159601064,23.8194836306801,47.4803849041371,25.1771596009647,-11.2309038299547,0
1.29,47.4408339137597,25.2073893568703,23.9520515256091,47.4408339163969,25.2073893567393,-11.3483568470046,0
1.3,47.4016182282821,25.2372897771901,24.084543016063,47.4016182307825,25.2372897770296,-11.4658981273213,0
1.31,47.3627329674156,25.2668665352175,24.2169594485694,47.362732969787,25.2668665350301,-11.5835261808351,0
1.32,47.324173358222,25.2961251698202,24.3493021368601,47.3241733604728,25.296125169608,-11.7012395518442,0
1.33,47.2859347293447,25.32507108959,24.4815723628922,47.2859347314815,25.3250710893548,-11.81903681801,0
1.34,47.2480125081258,25.3537095767458,24.6137713778301,47.2480125101549,25.3537095764898,-11.9369165893872,0
1.35,47.2104022178279,25.3820457908952,24.74590040299,47.2104022197563,25.3820457906202,-12.0548775074885,0
1.36,47.1730994749523,25.4100847726599,24.8779606307502,47.1730994767856,25.4100847723674,-12.1729182443815,0
1.37,47.1360999866517,25.4378314471681,25.0099532254266,47.1360999883942,25.4378314468601,-12.2910375018177,0
1.38,47.0993995482279,25.4652906274268,25.1418793241167,47.0993995498867,25.4652906271045,-12.4092340103915,0
1.39,47.0629940407258,25.4924670175703,25.2737400375118,47.0629940423047,25.4924670172351,-12.5275065287271,0
1.4,47.0268794285962,25.519365215996,25.4055364506813,47.0268794300999,25.5193652156494,-12.6458538426949,0
1.41,46.9910517574496,25.5459897183915,25.5372696238267,46.9910517588835,25.5459897180342,-12.7642747646531,0
1.42,46.9555071518777,25.5723449206532,25.6689405930098,46.9555071532447,25.5723449202871,-12.8827681327149,0
1.43,46.9202418133522,25.5984351217088,25.8005503708551,46.9202418146565,25.5984351213345,-13.0013328100414,0
1.44,46.8852520181918,25.6242645262373,25.9320999472263,46.8852520194366,25.6242645258559,-13.1199676841567,0
1.45,46.8505341155957,25.6498372473007,26.0635902898802,46.8505341167859,25.6498372469134,-13.2386716662864,0
1.46,46.816084525745,25.6751573088848,26.1950223450966,46.8160845268817,25.6751573084925,-13.3574436907178,0
1.47,46.7818997379589,25.7002286483536,26.3263970382878,46.781899739046,25.7002286479572,-13.4762827141809,0
1.48,46.7479763089183,25.7250551188232,26.4577152745854,46.7479763099592,25.7250551184232,-13.5951877152496,0
1.49,46.7143108609429,25.7496404914551,26.5889779394081,46.7143108619389,25.7496404910525,-13.7141576937617,0
1.5,46.6809000803221,25.7739884576743,26.7201858990103,46.6809000812768,25.7739884572698,-13.833191670259,0
1.51,46.6477407157008,25.7981026313163,26.8513400010111,46.647740716616,25.7981026309101,-13.9522886854434,0
1.52,46.6148295765175,25.8219865506987,26.9824410749065,46.6148295773954,25.8219865502917,-14.0714477996516,0
1.53,46.5821635314861,25.8456436806329,27.1134899325642,46.5821635323287,25.8456436802258,-14.1906680923458,0
1.54,46.5497395071302,25.8690774143644,27.2444873687017,46.5497395079398,25.8690774139576,-14.3099486616208,0
1.55,46.5175544863624,25.8922910754543,27.375434161349,46.5175544871397,25.8922910750479,-14.4292886237262,0
1.56,46.4856055071017,25.9152879195993,27.5063310722956,46.4856055078495,25.915287919194,-14.5486871126028,0
1.57,46.4538896609402,25.9380711363958,27.637178847524,46.4538896616608,25.9380711359918,-14.6681432794352,0
1.58,46.4224040918474,25.9606438510456,27.7679782176272,46.4224040925405,25.9606438506436,-14.7876562922157,0
1.59,46.3911459949108,25.98300912601,27.8987298982156,46.3911459955784,25.9830091256104,-14.9072253353234,0
1.6,46.3601126151192,26.0051699626136,28.0294345903077,46.3601126157631,26.0051699622161,-15.0268496091154,0
1.61,46.3293012461794,26.0271293025932,28.1600929807107,46.3293012468006,26.0271293021985,-15.1465283295298,0
1.62,46.2987092293671,26.0488900296062,28.2907057423881,46.2987092299664,26.0488900292147,-15.2662607277018,0
1.63,46.2683339524152,26.0704549706867,28.421273534816,46.2683339529943,26.0704549702985,-15.3860460495902,0
1.64,46.2381728484313,26.0918268976608,28.5517970043278,46.2381728489905,26.0918268972762,-15.5058835556155,0
1.65,46.2082233948468,26.1130085285169,28.6822767844486,46.2082233953885,26.113008528136,-15.6257725203087,0
1.66,46.1784831124005,26.1340025287362,28.8127134962194,46.1784831129241,26.1340025283591,-15.7457122319703,0
1.67,46.1489495641447,26.1548115125822,28.943107748511,46.1489495646516,26.1548115122091,-15.865701992339,0
1.68,46.1196203544863,26.1754380443525,29.0734601383281,46.1196203549772,26.1754380439837,-15.9857411162709,0
1.69,46.0904931282501,26.1958846395935,29.2037712511048,46.0904931287256,26.1958846392289,-16.105828931427,0
1.7,46.061565569773,26.2161537662786,29.3340416609904,46.061565570234,26.2161537659183,-16.2259647779699,0
1.71,46.0328354020187,26.236247845952,29.4642719311276,46.032835402466,26.2362478455963,-16.34614800827,0
1.72,46.004300385722,26.2561692548401,29.5944626139212,46.0043003861561,26.256169254489,-16.4663779866191,0
1.73,45.9759583185544,26.2759203249295,29.7246142512996,45.975958318976,26.2759203245828,-16.5866540889523,0
1.74,45.9478070343118,26.2955033450137,29.8547273749682,45.9478070347211,26.2955033446718,-16.7069757025782,0
