1
x0_(0 0 0 0 0 0)_x1_(0.5 0 0 0.5 0 0)_IMAGES/p0_(-53.27 0 9.94 62.73 0 -1.2)_mu=0_STABLE=0-100(seg=0.00).png,-65.129928,0.000000,17.208539,49.393033,0.000000,-8.112928
1.76,-76.5886859756358,-2.28725551104127e-07,25.187292062793,32.2361237949655,-2.01573713434072e-06,-15.3889013449698,0
1.77,-76.7024791301695,-2.23595001705608e-07,25.2717533939776,32.055861080619,-1.97969052722138e-06,-15.4651861076473,0
1.78,-76.8160693362484,-2.18588590837057e-07,25.3561836353757,31.8757507590045,-1.94441081598652e-06,-15.5414309259627,0
1.79,-76.9294564649831,-2.13703184710106e-07,25.4405827114434,31.6957942343332,-1.90987893832189e-06,-15.6176358266166,0
1.8,-77.0426403869683,-2.08935007525637e-07,25.5249505470415,31.5159928959539,-1.87607632056754e-06,-15.6938008359186,0
1.81,-77.155620972337,-2.04281330135362e-07,25.6092870674348,31.3363481186165,-1.84298465490899e-06,-15.7699259798059,0
1.82,-77.2683980908127,-1.99738715858655e-07,25.6935921982909,31.1568612627328,-1.81058661606094e-06,-15.8460112838615,0
1.83,-77.3809716117602,-1.95304357721894e-07,25.7778658656796,30.9775336746277,-1.77886488733018e-06,-15.9220567733313,0
1.84,-77.4933414042364,-1.9097510759662e-07,25.8621079960721,30.7983666867878,-1.74780287437101e-06,-15.9980624731418,0
1.85,-77.6055073370399,-1.86748353567809e-07,25.9463185163404,30.6193616180969,-1.71738455940606e-06,-16.074028407917,0
1.86,-77.7174692787603,-1.82621207768432e-07,26.030497353757,30.4405197740699,-1.68759435830758e-06,-16.1499546019948,0
1.87,-77.8292270978258,-1.78591196689677e-07,26.1146444359942,30.2618424470782,-1.65841669866936e-06,-16.2258410794428,0
1.88,-77.94078066255,-1.74655538722401e-07,26.1987596911239,30.0833309165719,-1.62983684825774e-06,-16.3016878640748,0
1.89,-78.0521298411787,-1.70811768937951e-07,26.2828430476174,29.9049864492924,-1.60184070635127e-06,-16.3774949794659,0
1.9,-78.1632745019355,-1.67057565849575e-07,26.3668944343452,29.7268102994818,-1.57441373456555e-06,-16.4532624489674,0
1.91,-78.2742145130668,-1.63390591098383e-07,26.4509137805767,29.5488037090848,-1.54754270202499e-06,-16.5289902957222,0
1.92,-78.3849497428857,-1.59808446302751e-07,26.5349010159807,29.3709679079473,-1.5212141947548e-06,-16.6046785426786,0
1.93,-78.4954800598153,-1.56308708315275e-07,26.6188560706248,29.1933041140085,-1.4954153572987e-06,-16.6803272126053,0
1.94,-78.6058053324315,-1.52889649721738e-07,26.7027788749758,29.0158135334895,-1.47013373537775e-06,-16.7559363281044,0
1.95,-78.7159254295056,-1.49548810584503e-07,26.7866693599003,28.8384973610717,-1.44535697332426e-06,-16.8315059116258,0
1.96,-78.8258402200452,-1.46284518297507e-07,26.8705274566641,28.6613567800779,-1.42107321251563e-06,-16.90703598548,0
1.97,-78.9355495733346,-1.43094602927463e-07,26.9543530969335,28.4843929626444,-1.39727081936453e-06,-16.9825265718513,0
1.98,-79.0450533589754,-1.39977289201625e-07,27.0381462127746,28.3076070698882,-1.37393891729183e-06,-17.0579776928106,0
1.99,-79.1543514469266,-1.36930287886086e-07,27.1219067366551,28.1310002520684,-1.35106617443325e-06,-17.1333893703281,0
2,-79.2634437075414,-1.33952302568759e-07,27.2056346014431,27.9545736487525,-1.32864246215215e-06,-17.2087616262849,0
2.1,-80.3430174680911,-2.5373575490733e-11,28.0411025026182,26.2004679977883,9.88242253329753e-11,-17.960320888007,0
2.2,-81.40187044758,5.9723888489191e-11,28.8732336800326,24.4655574400332,-2.89663540041214e-11,-18.7079617115478,0
2.3,-82.4398888426039,-1.97536546882099e-06,29.7019680479636,22.7508024539651,-9.66868292658031e-06,-19.4517067020083,0
2.4,-83.4569553663212,-6.88984363068912e-07,30.5272486289441,21.0571860138681,-2.4745146250814e-06,-20.1915781690705,0
