2
x0_(0 0 0 0 0 0)_x1_(0.5 0 0 0.5 0 0)_IMAGES/p0_(-53.27 0 -9.94 -53.27 0 9.94)_mu=0_STABLE=0-1.06(seg=0.00).png,-80.976651,0.000000,-15.114552,-80.976651,-0.000000,15.114552
x0_(0 0 0 0 0 0)_x1_(0.5 0 0 0.5 0 0)_IMAGES/p0_(-53.27 0 -9.94 -53.27 0 9.94)_mu=0_STABLE=0-1.06(seg=1.51).png,-214.161933,0.000000,-39.974013,-214.161933,-0.000000,39.974013
1.16,-176.870053821493,2.39145456584246e-10,-33.0133639570577,-176.870053821493,-2.40055140045617e-10,33.0133639570574,1
1.17,-177.935536073382,2.34596119657107e-10,-33.2122396435376,-177.935536073382,-2.35156039822895e-10,33.2122396435374,1
1.18,-179.001018325273,2.30179206099114e-10,-33.4111153300176,-179.001018325273,-2.29785491524283e-10,33.4111153300177,1
1.19,-180.066500577163,2.25153746992099e-10,-33.6099910164979,-180.066500577164,-2.25482152372246e-10,33.6099910164978,1
1.2,-181.131982829055,2.20657479701319e-10,-33.8088667029782,-181.131982829055,-2.21056872676609e-10,33.8088667029782,1
1.21,-182.197465080948,2.16858678150217e-10,-34.0077423894587,-182.197465080948,-2.16278465514468e-10,34.0077423894588,1
1.22,-183.262947332841,2.12364356351816e-10,-34.2066180759393,-183.262947332841,-2.11935406832682e-10,34.2066180759394,1
1.23,-184.328429584735,2.07681823019383e-10,-34.4054937624202,-184.328429584735,-2.07893252092417e-10,34.4054937624201,1
1.24,-185.39391183663,2.04025382092438e-10,-34.6043694489009,-185.39391183663,-2.0345794612877e-10,34.6043694489011,1
1.25,-186.459394088525,2.00116103917826e-10,-34.803245135382,-186.459394088525,-1.99792382616325e-10,34.8032451353821,1
1.26,-187.524876340421,1.95776047608696e-10,-35.0021208218632,-187.524876340421,-1.95949691260237e-10,35.0021208218632,1
1.27,-188.590358592318,1.92323312440609e-10,-35.2009965083444,-188.590358592318,-1.92381001211904e-10,35.2009965083444,1
1.28,-189.655840844215,1.88328425987719e-10,-35.3998721948258,-189.655840844215,-1.884652089338e-10,35.3998721948257,1
1.29,-190.721323096113,1.84346778619136e-10,-35.5987478813073,-190.721323096113,-1.84587429109123e-10,35.5987478813072,1
1.3,-191.786805348012,1.81242537254309e-10,-35.7976235677888,-191.786805348012,-1.8123166346546e-10,35.7976235677888,1
1.31,-192.852287599911,1.77691893859556e-10,-35.9964992542704,-192.852287599911,-1.77786337084498e-10,35.9964992542704,1
1.32,-193.917769851811,1.73852694610246e-10,-36.1953749407523,-193.917769851811,-1.74042013114696e-10,36.1953749407522,1
1.33,-194.983252103711,1.70438693323713e-10,-36.3942506272341,-194.983252103711,-1.70136224878457e-10,36.3942506272342,1
1.34,-196.048734355612,1.67360589362758e-10,-36.5931263137161,-196.048734355612,-1.67406137671806e-10,36.593126313716,1
1.35,-197.114216607513,1.64281373118795e-10,-36.7920020001981,-197.114216607513,-1.63897766560818e-10,36.7920020001982,1
1.36,-198.179698859415,1.60666342643306e-10,-36.9908776866802,-198.179698859415,-1.60752035380934e-10,36.9908776866802,1
1.37,-199.245181111317,1.57492998460393e-10,-37.1897533731625,-199.245181111317,-1.57535050976376e-10,37.1897533731625,1
1.38,-200.31066336322,1.54141626003933e-10,-37.3886290596449,-200.31066336322,-1.54441335913601e-10,37.3886290596448,1
1.39,-201.376145615123,1.50964539805641e-10,-37.5875047461272,-201.376145615123,-1.51062594182759e-10,37.5875047461272,1
1.4,-202.441627867027,1.48113412593714e-10,-37.7863804326097,-202.441627867027,-1.48069422500029e-10,37.7863804326097,1
1.41,-203.507110118931,1.44489862349134e-10,-37.9852561190923,-203.507110118931,-1.44531135649016e-10,37.9852561190922,1
1.42,-204.572592370836,1.41943684562294e-10,-38.1841318055749,-204.572592370836,-1.41991625163436e-10,38.1841318055749,1
1.43,-205.638074622741,1.38247806540266e-10,-38.3830074920576,-205.638074622741,-1.38353524166759e-10,38.3830074920576,1
1.44,-206.703556874646,1.36054113396462e-10,-38.5818831785404,-206.703556874646,-1.35768597970057e-10,38.5818831785404,1
1.45,-207.769039126552,1.32624819004605e-10,-38.7807588650233,-207.769039126552,-1.32758009988888e-10,38.7807588650232,1
1.46,-208.834521378458,1.2990527989247e-10,-38.9796345515061,-208.834521378458,-1.29833925294892e-10,38.9796345515061,1
1.47,-209.900003630365,1.2711710243446e-10,-39.1785102379891,-209.900003630365,-1.26864913539693e-10,39.1785102379892,1
1.48,-210.965485882272,1.23699897655767e-10,-39.3773859244722,-210.965485882272,-1.2363383331427e-10,39.3773859244722,1
1.49,-212.030968134179,1.2092829071008e-10,-39.5762616109553,-212.030968134179,-1.20931409309209e-10,39.5762616109553,1
1.5,-213.096450386087,1.17923811123952e-10,-39.7751372974384,-213.096450386087,-1.17960892030873e-10,39.7751372974384,1
1.51,-214.161932637995,1.1463303863004e-10,-39.9740129839217,-214.161932637995,-1.14704746785946e-10,39.9740129839217,1
